Name,Summary,Leaning
alanfike,"You have shared a variety of opinions and thoughts on various topics related to politics and current events. It seems that you lean towards supporting Joe Biden and Kamala Harris for the upcoming election. You also mention some criticism towards Donald Trump and his administration. Your personality can be described as outspoken, critical, and engaged in political discussions. You seem to have a strong interest in social issues and are not afraid to express your opinions openly. You appear to be passionate about these topics and are not afraid of engaging with others who may hold different views.",Democrat
geajochi,"Geajochi appears to be a passionate and opinionated individual who is interested in politics and social issues. They express strong opinions about various politicians, including Bernie Sanders, Joe Biden, Kamala Harris, and Barack Obama. They advocate for change in the criminal justice system and support movements like Black Lives Matter and Defund The Police. They also mention Cuba as a potential solution for medical education for African Americans. They seem to be critical of certain politicians' policies and actions, such as Bill de Blasio's handling of bike theft issues. Geajochi appears to have a strong sense of social justice and equality, and they are concerned about wealth inequality and the treatment of minorities in America. Their posts suggest that they believe in engaging more with the public and addressing systemic issues like police brutality and racism. They also seem to be critical of the current political system and call for more inclusive policies.",Democrat
Meredit05881052,"Meredit05881052 appears to be a critical and outspoken individual who is highly concerned about the current political climate in the United States. They express strong disapproval of President Trump's handling of the COVID-19 pandemic, unemployment, and various social issues such as racism and homelessness. They also show support for Joe Biden and the Democratic party. They seem to be passionate about promoting mask usage and criticize Trump's policies and actions related to these matters. They frequently share news articles and videos that highlight the negative aspects of his administration and encourage others to vote him out in the upcoming elections. Meredit05881052 also engages with other users on social media, discussing various topics such as race relations, economic issues, and the importance of rent forgiveness for disabled individuals. They seem to be a strong advocate for change and support for the Black Lives Matter movement.",Democrat
mikayla32016,"Mikayla32016 appears to be a politically engaged individual, expressing their opinions and sharing news articles related to various political figures such as Donald Trump, Ron DeSantis, and Barack Obama. They seem to lean towards the Democratic party and support Joe Biden for the upcoming election. They also share content that criticizes the actions of these politicians and call out what they perceive as false information or lies from them. They express frustration with the current administration's handling of the COVID-19 pandemic, particularly in Florida where they believe the government is not doing enough to control the spread of the virus. They also share content that supports Black Lives Matter and other social causes. Overall, their personality can be described as critical, engaged, and supportive of the Democratic party.",Democrat
Dzana1407,"Dzana1407 appears to be a critical and outspoken individual, expressing strong opinions about politics and current events. They seem to have a negative view of President Trump and the Republican party, accusing them of racism, lying, and supporting white supremacy. They also mention the handling of the COVID-19 pandemic and call for accountability for past actions such as the treatment of George Floyd and the alleged sexual abuse by Fred Trump Jr. Their personality can be described as passionate, outspoken, and determined.",Democrat
SaAnMi53,"SaAnMi53 appears to be a critical and opinionated individual, expressing their views on various political figures and events. They seem to lean towards the Democratic party and support Joe Biden for President. They often share articles that criticize Donald Trump's handling of the COVID-19 pandemic and his administration's response to it. They also mention other politicians like Lindsey Graham and Chuck Woolery, discussing their actions or lack thereof. They express admiration for Joe Biden's communication skills and seem to appreciate the work of Dr. Fauci. Their posts suggest they believe that Trump has caused unnecessary deaths due to his handling of the pandemic and criticize him for not wearing a mask in public. Overall, SaAnMi53 appears to be passionate about politics and current events. They also share content from various news sources, indicating an interest in staying informed on political matters.",Democrat
ChryslerReal,"You are a sarcastic and outspoken individual who enjoys engaging with @realDonaldTrump on social media, often sharing content that criticizes him and his policies. You have a strong opinion on various topics such as politics, relationships, and popular culture. Your posts showcase your disapproval of Trump's actions and decisions, particularly regarding the Electoral College and his personal life. You seem to enjoy using humor and sarcasm to express your thoughts and opinions. You also like sharing news articles that highlight negative aspects of Trump's administration and campaign. You are not afraid to share content that may be considered controversial or provocative, often using strong language to make a point. Your posts suggest you have a critical viewpoint on the current political climate and enjoy poking fun at the president.",Democrat
Mousefoot,"Mousefoot appears to be a critical and outspoken individual, expressing strong opinions about various political figures and events. They seem to lean towards the Democratic party and criticize President Trump and his administration's handling of the Covid-19 pandemic, as well as other policies. They also mention Joe Biden and his potential choice for Vice President. The user seems to be concerned about the current state of the country and is not afraid to voice their opinions on various topics, often using humor and sarcasm to make their points.",Democrat
JonAlienist,"You have a strong dislike for Donald Trump and his administration. They frequently criticize him and his policies, accusing him of being a traitor, a coward, and a crook. They also support the Black Lives Matter movement and share articles that highlight his perceived incompetence and lack of leadership during the ongoing protests and recession. JonAlienist appears to be quite passionate about these issues and uses strong language to express their opinions.",Democrat
kenvitiello,"kenvitiello appears to be a critical and engaged individual who is passionate about politics, particularly regarding the current US administration. They express concern for the state of the nation under President Trump and support for Joe Biden and Kamala Harris as an alternative. They also seem to have a sense of humor and enjoy sharing news articles that criticize or poke fun at the current president and his supporters. They are concerned about various issues such as the COVID-19 pandemic, protests, and the state of democracy in America. They advocate for transparency and honesty from political figures, especially Trump and his team. They also seem to have a strong interest in the upcoming election and its potential outcomes.",Democrat
Megaera17,"You are a relentless critic of Donald Trump and his administration, expressing strong opinions against him and sharing various videos that highlight what you perceive as his shortcomings. You seem to be passionate about politics and are not afraid to voice your disapproval on social media. Your content often focuses on topics related to the US Presidential Election and his handling of the COVID-19 pandemic, as well as his tax returns and other controversies. You also support Barack Obama and Joe Biden. You appear to be a staunch supporter of the Democratic Party and are eager for change in the current political landscape. Your tone is often sarcastic and critical, but you also share content from various sources, indicating an open-mindedness to different perspectives.",Democrat
mshemispheres,"mshemispheres seems to be a strong advocate for the Democratic party and against the current US administration. They express concern about various issues such as political influence in prosecutorial decisions, support for school choice, civil rights, transgender rights, healthcare, climate change, and the handling of the COVID-19 pandemic. They also criticize President Trump's actions and policies on multiple occasions. They seem to be against conspiracy theories and support Joe Biden for the upcoming elections. Their posts indicate a preference for the Democratic party and express dissatisfaction with the current administration.",Democrat
TuskBot,"TuskBot's personality can be described as critical, informative, and outspoken. They frequently share news articles and opinions about politics, particularly focusing on the Trump administration and its policies, highlighting issues such as COVID-19, tax evasion, and social injustice. The content often includes strong language and criticism of President Trump, accusing him of being a puppet for Putin and questioning his competence. They also discuss various scandals and controversies surrounding his presidency, including allegations of corruption and criminality. TuskBot seems to be passionate about these topics and is not afraid to use strong language to express their views.",Democrat
RealTrumpMafia,"You have posted various political opinions and updates related to President Trump, former President Obama, Joe Biden, and the upcoming US election. You have a strong interest in American politics and support for the current administration. You've mentioned several times that you believe President Trump will win the election, as you think he has been underestimated by his opponents. You also express concern about certain actions taken by media outlets and individuals like Alec Baldwin and Mitt Romney.",Democrat
FosteSherman,"FosteSherman appears to be a critical and outspoken individual, expressing strong opinions against Donald Trump and his administration. They seem to focus on issues such as voting rights, the COVID-19 pandemic, and the potential consequences of a second term for Trump. They also mention Joe Biden and Kamala Harris positively. The tone is confrontational and passionate, with a sense of urgency in their posts.",Democrat
MC_Eades,"MC_Eades appears to be a critic of President Trump, focusing on various aspects such as his handling of the George Floyd protests, health concerns, and authoritarian tendencies. They also discuss his response to the COVID-19 pandemic, interactions with other world leaders, and potential issues regarding his mental and physical wellbeing. The content suggests that they believe Joe Biden would be a better alternative for the presidency. Their tone is critical of Trump's actions and decisions, often using hashtags like #DumpTrump, #DefeatTrump, #Biden2020, and #JoeBiden to promote their preferred candidate. They also discuss concerns about potential voter suppression and the impact of the COVID-19 pandemic on various industries. Overall, MC_Eades seems to be a strong advocate for Joe Biden.",Democrat
j_nanma,"Based on the content posted by j_nanma, they seem to be a person who is critical of President Donald Trump and his administration. They express strong opinions against racism, support the Black Lives Matter movement, and are concerned about the COVID-19 pandemic. They also share news articles that criticize Trump's policies and actions, highlighting issues related to housing discrimination and the Confederate flag. They appear to be politically aligned with the Democratic party and support Joe Biden for the upcoming election. Their posts suggest they value human rights, compassion, and transparency in leadership. They seem to have a strong dislike for Trump's policies and actions, often using hashtags like #TrumpIsLosing, #RacistInChief, and #LiarInChief. Overall, j_nanma appears to be a progressive individual who is concerned about social issues and the current political climate in the United States.",Democrat
WhatNow91865334,"You are a passionate advocate for social justice, critical of the Trump administration and its policies, and you enjoy sharing news articles that highlight issues related to racism, environmental protection, and political controversies. You also have a sense of humor and like to engage with content from satirical sources like The Daily Show. You appreciate stories that expose hypocrisy and corruption within the Republican party. Your personality can be described as empathetic, analytical, and witty.",Democrat
paladinette,"Paladinette appears to be a critical and outspoken individual who is highly concerned about the current state of the American economy, unemployment, and the well-being of its citizens. They seem to express frustration with both major political parties for not addressing these issues adequately and prioritizing Wall Street over the average citizen. They also criticize President Trump and Joe Biden, accusing them of being out of touch with the struggles of everyday Americans. They advocate for a more equitable distribution of economic aid and support for programs like Medicare for All. They express skepticism towards the political establishment and call for action on issues such as evictions, affordable housing, and ending wars. They also criticize Trump's foreign policy decisions. Overall, they seem to be disillusioned with the current state of American politics and are looking for a better alternative.",Democrat
TStrapkovic,"You are a critical and outspoken individual who frequently engages with political figures, particularly Donald Trump and his family members, expressing strong disapproval and negative opinions about them. Your personality can be described as confrontational, opinionated, and passionate in your expressions. You seem to have a strong dislike for the current administration and its policies, often using harsh language and sarcasm to convey your thoughts. You also appear to enjoy sharing articles and images that support your views on social media.",Democrat
RedDot_inBluSea,"RedDot_inBluSea appears to be a supporter of President Trump and shares content related to his administration, economic policies, and investigations into political opponents. They also express support for the president's actions against big tech companies and discuss various news updates on social media. Their posts often include hashtags like #Trump2020 and #Trump4EVA, indicating their enthusiasm for his re-election campaign. They seem to be critical of Joe Biden and his campaign, as well as the Democratic party in general. They also share content related to investigations into potential corruption within the Biden family and other political opponents. They engage with other users who share similar views and discuss current events related to politics and social issues.",Republican
Poetvix,"Poetvix appears to be a strong supporter of President Trump and expresses their admiration for him frequently in their posts. They seem to believe that he is the best president the United States has ever had and often praise his actions, especially during these trying times. They also show concern for Barron Trump, the President's son, and express their support for measures like reopening America and taking action against voter fraud. They are critical of the Democratic party and accuse them of various wrongdoings such as child trafficking and terrorism. They advocate for a more aggressive approach to dealing with riots and protests, suggesting that President Trump should take control if necessary. They also mention their faith and pray for his success. Overall, they have a very positive view of the President and his administration's actions.",Republican
BeverlyTymchuk,"Beverly Tymchuk appears to be interested in a wide range of topics, including politics, international relations, and social issues. They share content related to Australia's push for an independent coronavirus inquiry, the COVID-19 pandemic, and various controversies involving prominent figures such as Boris Johnson, Donald Trump, and Jeffrey Epstein. They also discuss topics like Antifa activities, protests, and allegations of corruption or wrongdoing by government officials. Additionally, they express concern about issues related to social media censorship and share content critical of organizations like Twitter and the Rockefeller Foundation. Overall, their posts seem to lean towards a conservative perspective with a focus on exposing what they perceive as hidden truths and promoting alternative viewpoints.",Republican
DanielleAsher2,"Danielle Asher2 appears to be a strong supporter of President Trump and his administration, expressing her opinions on various topics such as the Second Amendment, COVID-19, voter fraud, and the Deep State. She also calls for the arrest of politicians involved in voter fraud and those who promote violence or act in bad faith against citizens. She advocates for the protection of inalienable rights and supports law enforcement and ICE. Danielle Asher2 seems to be a patriotic individual who believes in transparency and accountability within the government, particularly regarding the 2020 election and COVID-19 measures. She is critical of mainstream media and calls for action against those she perceives as perpetrating fraud or promoting violence. Overall, her tone is assertive and passionate about her beliefs.",Republican
TrumpATeam,"TrumpATeam's posts and content often reflect a strong conservative stance, focusing on issues such as economic growth, the alleged corruption of political opponents, and criticism towards social media companies for allegedly censoring or targeting conservative voices. They also discuss law enforcement and immigration policies, with some mentions of international incidents related to national security and terrorism. The tone tends to be critical of the opposition party and highlights accomplishments of the Trump administration, while emphasizing a need for stronger law and order measures. There's a mix of news articles and videos shared, along with personal opinions and memes. The content also shows support for President Trump and his administration.",Republican
WmWallace7,"You are a curious and engaged individual who is passionate about politics, particularly related to President Trump and his administration. Your content shares various perspectives and opinions on different topics such as gender issues, rallies, legal matters, and international events. You seem to be interested in uncovering hidden truths and exposing potential corruption within the Democratic Party. You also enjoy sharing videos from YouTube channels that discuss these subjects and support President Trump's actions. Your posts often contain a mix of humor and seriousness, showcasing your diverse interests and ability to find amusement in various situations.",Republican
LadyLibertyQ45,"LadyLibertyQ45 seems to be a strong supporter of President Trump and his policies. They express their admiration for him multiple times in their posts, often using hashtags like #Trump2020NowMoreThanEver, #BestPresidentEver45, and #MAGA. They also show concern about potential voter fraud and share news articles related to the topic. They mention their trust in Trump's decisions and admiration for Amy Coney Barrett's appointment as a Supreme Court Justice. They seem to be politically active and engaged with the community, attending events and sharing content from various sources like NeonNettle and OANN. They also express their love for the military and support for Sidney Powell as a potential candidate for FBI director.",Republican
CMitchel14,"CMitchel14 appears to be a supporter of President Trump and shares content related to politics, the Bible, and various news articles. They seem to express appreciation for Trump's actions and policies, as well as concern about certain issues like healthcare and mask mandates. They also mention casting calls and suggest potential additions to memorial gardens. Their personality can be described as patriotic, supportive, and concerned about current events.",Republican
first_maga,"First_maga appears to be a strong supporter of President Trump and conservative values, critical of the Democratic Party and mainstream media, and expresses concerns about the COVID-19 pandemic being used as a tool for political gain. They also mention various conspiracy theories, including allegations of corruption against Joe Biden and George Soros, and accuse Twitter of censoring conservatives. They seem to be against mask mandates and support the Proud Boys, a far-right group. They are also critical of Dr. Fauci and call for his removal from his position. Overall, they have a distrustful view of mainstream institutions like CNN and the FBI.",Republican
gosiokbe,"Gosiokbe appears to be a conspiracy theorist who supports President Trump and is concerned about various issues such as lockdown measures, vaccinations, and the role of organizations like the CDC and Bill Gates. They also express concerns about potential threats to national security and civil unrest. They advocate for martial law in some instances and support the use of hydroxychloroquine as a treatment for COVID-19. They are critical of taxation policies and believe that certain groups, such as Antifa and Black Lives Matter, pose a threat to society. They also express concerns about the influence of corporations like Monsanto and the United Nations. Overall, they seem to be distrustful of mainstream media and government institutions.",Republican
Lou17Q,"Lou17Q appears to be a strong supporter of President Trump and believes that his re-election is crucial for the future of America. They seem to have a deep distrust in mainstream media, as they are accused of covering up for Joe Biden and other Democratic candidates. They also express concern about issues like BLM and Antifa, and support the idea of prosecuting these groups for their actions. They believe that Trump is fighting against a ""cabal"" or ""children of darkness"" within the Church. They seem to have a strong faith in God and pray for him regularly. They are also concerned about Biden's past and his potential impact on America if elected, and they appreciate Trump's stance on various issues like standing up to China and protecting American values. They also support the idea of converting to Catholicism for Trump. Overall, Lou17Q appears to be a passionate supporter of Trump and his policies.",Republican
PetraCEsser1,"PetraCEsser1 appears to be a German user who is actively engaged with QAnon and related conspiracy theories. They seem to be critical of the current political situation in Germany, particularly focusing on alleged connections between the German government and the deep state, as well as the Clinton Foundation and other prominent figures such as Barack Obama and Hillary Clinton. They also express concerns about 5G technology and its potential impact on European countries. They mention various hashtags like #WWG1WGAWORLDWIDE, #QAnon2020, #QArmyDACH, #QAnonsEurope, and #QArmyGermany in their tweets, indicating their involvement with the QAnon community. They also mention President Trump and his administration, urging for action against alleged misinformation campaigns and calling for the arrest of certain individuals involved in various scandals. Overall, they seem to be a supporter of President Trump and his policies, but express frustration at what they perceive as disinformation campaigns by Twitter and other social media platforms. They also mention the need for transparency and truth in news reporting, particularly regarding the COVID-19 pandemic and its coverage by German media outlets like ZDF.",Republican
MarcMarhone,"Marc Marhone appears to be a sociologist with a strong focus on social issues, particularly those related to real estate and racism. He seems to believe that the current political climate in America is exacerbating these problems and is critical of both major parties, Democrats and Republicans. He expresses support for Joe Biden as someone who could potentially address these issues more effectively than Donald Trump. His content often includes videos from YouTube with titles like ""Real Estate: Systemic Racism at its Finest"" and ""The Banks Role in the Con Game of Real Estate."" He also frequently mentions the cost of living, healthcare, and minimum wage as key factors in addressing social issues. He appears to be passionate about ending systemic racism and believes that real estate is a significant contributor to these problems. His tone is critical and confrontational, often using phrases like ""con artist"" and ""racist America."" Overall, he seems to be an activist who is concerned with the state of American society and politics.",Republican
dennis0805a,"Dennis0805a seems to be a critical and outspoken individual who is not afraid to express their opinions openly. They appear to have a strong dislike for President Trump, discussing various topics such as his campaign, COVID-19 cases in different states, and the president's job approval ratings. They also mention an upcoming election and share articles related to Trump's actions and decisions. Their personality can be described as bold and assertive, as they are not afraid to ask questions or make statements that may provoke a reaction from others.",Republican
Starlanon777,"Starlanon777 appears to be a concerned and politically active individual who is critical of the current political climate in America. They express support for President Trump and his family, as well as other Republican figures such as Donald Trump Jr., Eric Trump, Ron DeSantis, Ted Cruz, Devin Nunes, Tom Cotton, Dan Crenshaw, Ben Carson, and others. They are concerned about the potential for violence and unrest in the country, particularly related to protests and riots, and believe that more federal intervention is needed to address these issues. They also express concerns about voter fraud and mail-in ballots, suggesting voting in person as a solution. Additionally, they share videos and articles related to alleged corruption and potential voter fraud, as well as information about the Biden family's connections to China. Overall, their content focuses on promoting the Trump campaign and highlighting what they perceive as negative aspects of the Democratic party and its candidates. They also express sympathy for President Trump and his family.",Republican
ChristianSupre9,"ChristianSupre9 appears to be a strong supporter of President Trump and seems to believe in the effectiveness of hydroxychloroquine for COVID-19 treatment. They also express support for the MAGA movement and QAnon conspiracy theories, as well as sharing content that criticizes Joe Biden and Cindy McCain. Their posts often include religious references and hashtags like #GodBlessUsAll, #Trump2020, and #WWG1WGA (Where We Go One). They also share content that questions the credibility of mainstream media and accuse their opponents of promoting hate in schools. Overall, they seem to be a passionate supporter of President Trump and his policies.",Republican
MarkJanik5,"Based on the content shared by MarkJanik5, it can be inferred that he is a strong supporter of President Trump and his policies. He frequently shares news articles and videos related to Trump's administration, often highlighting positive actions taken by him and expresses gratitude towards him. He seems to believe in conspiracy theories surrounding the Biden family's corruption and the alleged election fraud. He also appears to be interested in topics like QAnon and believes in the idea of deep state actors working against Trump. His posts suggest that he is passionate about politics, particularly focusing on the current political climate in the United States. MarkJanik5 seems to have a strong belief in the importance of transparency and accountability in government actions and is eager for Trump's re-election. He also shares content related to alleged election fraud and voter irregularities. His posts often contain calls to action, urging others to share or make these contents go viral. Overall, he appears to be a dedicated supporter of President Trump and his policies.",Republican
Kimmy33311,"Kimmy33311 appears to be a concerned and politically engaged individual, expressing their thoughts and opinions on various topics such as the COVID-19 pandemic, police procedures, social issues, and political matters. They seem to support President Trump and are interested in economic recovery through startup businesses. They also show concern for people with underlying health conditions and those affected by the pandemic. They advocate for prayer and support from figures like Franklin Graham and Jay Sekulow. They express frustration with certain government policies and urge for change in unemployment benefits for high-risk individuals during these times. They are critical of some decisions made by the TVA and the mayor of Seattle, suggesting potential corruption or ulterior motives. They also show interest in news articles from The Epoch Times. Overall, they seem to be a concerned and proactive individual who is engaged with current events and politics.",Republican
janerross,"Janeross appears to be a supporter of President Trump and shares content related to conspiracy theories, political news, and social issues. They express enthusiasm for the potential declassification of documents and legal actions against perceived enemies of the administration, as well as support for the QAnon movement. Their posts indicate that they are concerned about various aspects of politics and current events, particularly those involving President Trump and his administration. They also show a strong interest in the ongoing protests and unrest in the United States. They seem to be hopeful for positive changes and developments within the government and law enforcement.",Republican
PorterSumari,"PorterSumari appears to be a strong supporter of President Trump and is concerned about the current state of politics, particularly regarding issues such as corruption within government institutions, crime, and the handling of the COVID-19 pandemic. They express frustration with what they perceive as a lack of action against corrupt officials and criminals in positions of power. They also show support for law enforcement and advocate for actions like releasing transcripts of criminal communications and arresting those involved in alleged crimes. They seem to be critical of the media, specifically calling out certain journalists and news sources. They express hope that President Trump will take action against these perceived threats and emphasize the importance of protecting citizens' safety and rights. They also show support for actions like pardoning Roger Stone. Overall, their personality can be described as passionate, patriotic, and determined.",Republican