username,description,user_char,source_author_id,tweet_count,sampled_tweets,generation_error
user_1066212000601186306,"The user is from Brazil, expressing strong anti-lockdown and anti-COVID-19 sentiment, often using informal language and internet slang. They frequently mention the virus in relation to travel, personal health, and political figures.","The user has a sarcastic and confrontational tone, showing defiance towards government measures and public health guidelines while maintaining respect for certain social causes. They engage interactively with others, often using humor and memes.",1066212000601186306,20,"[""Que Deus me perdoe mas que todo mundo que tá indo pra essas “manifestações” por aí se foda muito! Corona vírus faça o que for preciso."", ""Acho que a ravi me passou coronga vírus"", ""Coragem de ir/fazer manifestação no BR onde estão morrendo mil pessoas por dia, ou uma pessoa por minuto. coragem.... respeito a causa, mas o covid não respeita!"", ""Coronga trate de acabar logo quero passar uma semana viajando com meu namorado"", ""É oficial: ravi me passou coronga vírus 🦠"", ""Não vejo a hora do coronga acabar e eu voltar a ir pro bingo"", ""TBT 😍 vou comprar uma passagem p vc no cartão do Bolsonaro quando ele acabar com o corona usando a cloroquina ok https://t.co/zIKmxpZ2gQ"", ""Fui infectada pelo mocoronga vírus"", ""É oficial: ravi me passou coronga vírus 🦠"", ""@tiktokproibido Foi aí que o corona nasceu"", ""Ainda vejo pessoas falando que “querem nos assustar mostrando o número de óbitos no br” ?????????????!? Se isso não te assusta vc é pior q o corona vírus parça"", ""Coragem de ir/fazer manifestação no BR onde estão morrendo mil pessoas por dia, ou uma pessoa por minuto. coragem.... respeito a causa, mas o covid não respeita!"", ""Ano q vem tem vingança no corona https://t.co/VkyLE9Q9RX"", ""O congresso nacional trouxeram o vírus pra rasgar o cu do mito 😂😂😂😂😂😂😂 https://t.co/NLCMsdUaXo"", ""Vamos já pro hospital. Vocês pensam que é brincadeira é kkkkkk a ravi tava na Europa... coronga está presente""]",
user_1086299945781641216,"The user engages in conspiracy theories and expresses skepticism about government actions during the COVID-19 pandemic, often questioning official information and promoting alternative views.","Skeptical and confrontational, the user frequently challenges established narratives and authorities, showing a tendency to spread unverified information and conspiracy theories.",1086299945781641216,20,"[""Acordar pra ouvir empresário falando na Rádio Difusora que as pessoas estão se contaminando com covid em casa e não nas ruas. Comparando H1N1 com covid e estimulando as pessoas a tomar cloroquina e azitromicina por conta própria."", ""Alguém acredita que não haja realmente nenhum caso de Covid em Palmeira?"", ""Vereador bolsonarista, contra o isolamento social, testa positivo para covid e fica em pânico, tem alta de pressão e vai parar no hospital. Confere?"", ""Passo Fundo se torna notória pela ignorância do povo... Desde a caravana do Lula que penso isso! Aí o prefeito dá entrevista dizendo que \""tenta entender pq tantos mortos por Covid-19\""... Sério?"", ""Pensei que já havia sofrido tudo o que podia por esse país, mas não... E olha, não estou falando do vírus!"", ""Gente enquanto os mortos pelo corona não começarem a levantar, ainda estamos no lucro. Fãs de TWD estão com o cu que não passa um alfinete."", ""Pensei que já havia sofrido tudo o que podia por esse país, mas não... E olha, não estou falando do vírus!"", ""Já temos quase 20 mil casos e mil mortes por Covid no Brasil. E seguimos fingindo que nada está acontecendo... A merda que vai dar, meu pai!"", ""Já temos quase 20 mil casos e mil mortes por Covid no Brasil. E seguimos fingindo que nada está acontecendo... A merda que vai dar, meu pai!"", ""Nas últimas 24 horas morreram 204 pessoas pelo Covid. Que puder fica em casa gente... É sério..."", ""@cris_antunesss Não, meu tweet perguntando se era verdade que um vereador bolsonarista havia pego covid."", ""Depois da facada fake será que estamos vivendo o covid fake?"", ""Vereador bolsonarista, contra o isolamento social, testa positivo para covid e fica em pânico, tem alta de pressão e vai parar no hospital. Confere?"", ""Nas últimas 24 horas morreram 204 pessoas pelo Covid. Que puder fica em casa gente... É sério..."", ""Depois da facada fake será que estamos vivendo o covid fake?""]",
user_1102261431699951616,"The user is highly critical of China and its alleged role in spreading the virus, often blaming them for economic downturns and deaths worldwide. They are skeptical of vaccines and government actions during the pandemic.","The tone is angry and conspiratorial, with a strong anti-Chinese sentiment. The user frequently engages in heated debates and criticizes public figures and institutions.",1102261431699951616,20,"[""Chine espalha e mata milhares pelo mundo. E agora é o único que esta faturando bilhões de dolares com o vírus que espalhou. Assassino https://t.co/WAwvBSuF8d"", ""@RenovaMidia A culpa é da china e das merdas que eles comeram. A china tem que pagar pelas mortes e prejuízos que causo no mundo todo. A china é culpa pelo maldito vírus, seu imbecil."", ""@SF_Moro Mentira. Bairros que fecharam comércio e pessoas presas dentro de casa. Ninguém nas ruas. O vírus aumentou. Todos os dias Vc é um incompetente e irresponsável"", ""Se esse fdpp chineses subornaram antes. Imagina agora que eles mentiram, mataram, espalharam e destruíram milhares de famílias Isso é uma prova que esse vírus desgracado chinês foi fabricado em laboratório Qto doriana esta ganhando para usar os paulistas de cobaia? https://t.co/lIXppeBL3E"", ""Qual a verdade que ninguém quer falar sobre esse vírus? Por que força as pessoas a tomarem uma vacina? O que estão escondendo? Qual deformação esse vírus irá causar na população? https://t.co/4Baf1IiglY"", ""@RenovaMidia Nhonho, deixe de ser canalha e bosta. Prefere que o povo morra para governadores e prefeitos roubarem mais Seu imbecil o presidente uso e mostrou que esta se curando do vírus chinês Nhonho babaca"", ""Quem garante que a china não espalhou o vírus através de celulares, eletrônico, roupas e outos! Todos vez que china espalha uma doença, somente ela sai ganhando. O vírus se espalhou muito rápido. Depois que o trump travou colocar títulos do governo. Na China acaba vírus!!!!! https://t.co/MAsBWTIi8a"", ""@RenovaMidia Ilegal é a fdp da mulher desse merda do piaui roubar dinheiro dos nossos impostos Não esquecendo que o merda do marido fez terror com comerciante e a população durante esse infestação do vírus chines Ilegal é roubar seus merdas"", ""É triste ver que o brasil estava saindo de uma crise e caminhando para o crescimento. Ver que em determinada área estavão començando a se desenvolver, e ai vem um maldito vírus chinês, governadores e prefeitos corruptos para atrapalhar o brasileiro https://t.co/1U4kTROXHO"", ""Pq ninguém fala que essas vacinas alteraram o DNA Uma vacina leva 20 anos de estudo Mas querem em 9 meses todos de cobaia Talidomida deformou e matou milhares de fetos/crianças Somente depois de 50 anos reconheceram erro Pq laboratório querem habeas-corpus contra efeitos do vírus https://t.co/f9I84l40dj"", ""Oms e china, tem que serem processados pelos prejuízos e danos que causaram no mundo todo China escondeu e depois com o vírus pelo mundo, foi a única que faturou bilhões com o caos e as mortes Vendendo epi e respiradores. https://t.co/dkzw3zSLSi"", ""Na paraíba um morreu de \""suposta\"" penumonia É que a família tem dinheiro e \""abafou\"" o real motivo da morte Mas teve oportunista que disse que foi o vírus chinês Mas quebrou a cara. Deu negativo para corvid duas vezes Tudo agora é o vírus, morre de toma viagra a culpa é do vírus https://t.co/VU6zasW5fo"", ""@OlavoOpressor Esqueceu canalhas oportunistas. Esses fdp estão sendo verdadeiros carrasco nos seus estados. Imaginem se vivessemos na era medieval. Iriam mandar cortar a cabeça do povo. A pandemia do vírus chinês, esta mostrando o verdadeiro carater desses governadores vagabundos."", ""Esse vírus se transmitia entre ratos na bolívia. Agora se transmiti entre pessoas. https://t.co/F1N2uZGvIN"", ""@LucianoHuck O seu amigo cachaceiro e mixão, estão a favor do vírus chinês. Já devolveu o dinheiro do bndes?""]",
user_1103441049563865090,"The user is deeply concerned with the impact of the COVID-19 pandemic in Brazil, particularly focusing on health updates, vaccination drives, and government responses to the crisis.","The tone is serious and informative, reflecting a strong sense of community responsibility and engagement with public health issues. The user likely interacts by sharing factual information and possibly expressing concern or support for various measures taken during the pandemic.",1103441049563865090,20,"[""Foi registrado hoje (terça)1.365 mortes pela Covid-19 ,chegando ao total de 110.019 óbitos. Já são mais de 3,4 milhões de casos confirmados."", ""Secretário de Saúde da Bahia, internado com Covid-19, é encaminhado para UTI https://t.co/87XfqvYW8i"", ""Feira de Santana: drive thru de vacinação contra Covid-19 começa nesta terça-feira https://t.co/ORBOWf763Y"", ""Senador Major Olímpio tem morte cerebral após Covid-19 https://t.co/18RffyyQQC"", ""Hoje batemos recordes em Feira com mais de 2 mil casos de COVID 19 e no Brasil com mais de 1 milhão de contaminados."", ""Chegamos hoje a mais de 1 mil mortes por covid-19,foram 1.179 vidas que perdemos nas últimas 24hs,já estamos com quase 18 mil mortes no Brasil."", ""https://t.co/s7Wo8q4ImO: mortalidade entre internados bate recorde em 11 estados"", ""Pesquisador da USP questiona estudo sobre baixa transmissão da Covid-19 em escolas de SP https://t.co/DCV0hxIXog"", ""Rui Costa afirma que horário do toque de recolher pode ser ampliado se taxas da Covid-19 não diminuírem https://t.co/fBViMoaIuo"", ""Wagner toma primeira dose de vacina contra Covid-19 https://t.co/WIvJNgIpG1"", ""Brasil ultrapassa mais de 195 mil mortos pela covid. País contabilizou 195.742 óbitos e 7.714.819 casos da doença desde o início da pandemia, segundo balanço do consórcio de veículos da imprensa."", ""Após contato com Maurício Barbosa, teste rápido de Rui para Covid-19 dá negativo - Baiano News https://t.co/UxFgyMqsMS"", ""Apenas nove municípios baianos não registraram nenhuma morte por Covid-19 https://t.co/pnqpCb8Qq4"", ""Brasil atinge 300 mil mortos por Covid-19 um dia após recorde de mais de 3 mil vidas perdidas em 24 horas https://t.co/aul9MFV28z"", ""O governador Rui Costa anunciou um auxílio de R$ 500 a pessoas diagnosticadas com a Covid-19 e ainda monitoradas epidemiológicamente, os chamados casos ativos. O objetivo dessa espécie de \""voucher\"" é fazer com que elas cumpram o isolamento a rigor em um local pré-definido.""]",
user_11077312,"The user engages in discussions about the coronavirus pandemic, often criticizing misinformation and government actions while emphasizing the importance of health and safety measures.","The user has a critical and sometimes sarcastic tone, actively participating in social media debates on public health issues, particularly regarding the coronavirus pandemic.",11077312,20,"[""@jebbrito é um vírus de fantasia né? entendi a máscara e a burrice. pandemia da ignorância"", ""@senalaila @IvannescaA o que vai matar a gente não é um vírus, é a ignorância."", ""Bolsonaro vai curar Corona Vírus com Golden Shower"", ""Como disse o presidente francês, estamos em guerra. Em guerra contra um vírus. Nossos pensamentos e escolhas devem priorizar a saúde e a segurança das pessoas. Texto de Gustavo Guterman e Vanessa Santos pra quem tem um negócio neste tempo de guerra viral https://t.co/xPs5u4fIJq"", ""@DCM_online FORÇA COVID"", ""@senalaila @IvannescaA o que vai matar a gente não é um vírus, é a ignorância."", ""mais um ministro espalhando COVID no Planalto Central taquipariu"", ""@EderMauroPA Um novo foco de Corona Vírus em Belém. Infestação se deve ao rebanho que está espalhado pela cidade movido pelo toque do berrante do Jumento Messias, uma praga que alimenta das sinapses cerebrais, anulando o bom senso e disseminando histeria."", ""Bolsonaro vai curar Corona Vírus com Golden Shower"", ""@EderMauroPA “Corona eu não sei” Corona sabe sim"", ""@thiagokong até se ouve sim, mas a irresponsabilidade diante das circunstâncias de qualquer aglomeração agora, sendo que blocos e desfile foram proibidos pela prefeitura, só endossa os ensinamentos de Darwin deixando o vírus fazer seu trabalho… aqui no RJ e todo resto"", ""IF YOU GOINGO TO SAN FRANCISCO, Scott McKenzie.mp3 comercial de máscaras com Corona Vírus https://t.co/lmol9DBGsB"", ""como tá o rodízio de covid na sua cidade?"", ""@DCM_online FORÇA COVID"", ""@kallilolv é câncer que faz isso ou corona?""]",
user_111986075,"The user is a young adult living in São Paulo, Brazil, who frequently posts about the impact of the COVID-19 pandemic on their daily life and studies. They are critical of political figures like Bolsonaro and use humor to cope with the situation.","Humorous and sarcastic, the user engages in light-hearted mockery of political leaders while expressing concern over the spread of the virus and its effects on personal and academic routines.",111986075,20,"[""acho que esse covid 19 ta indo longe demais suspenderam minhas aulas restaurante universitário parado gravações de séries suspensas álcool em gel R$ 27,90 cancelaram os festivais tudo"", ""no meu carro vai ta \""eu venci o covid\"" claro, se eu vencer o covid de fato KKKKKKKKKKK https://t.co/tT2tGNOfn2"", ""Pericão está com covid meodeossss não permita que essa lenda se vá, eu imploro 😭🙏🏽"", ""Bolsonaro pode estar com corona vírus aaaaaa que sonho"", ""@meninodocrime sei pra lá coronga vírus kakakak"", ""vendo os leitos de praticamente todas as cidades paulistas lotados por conta do covid, confesso que fico meio receosa de descer pra praia nos dias que tenho de recesso...."", ""VAI TOMA NO CU CORONA nos trend, to amando"", ""@indiferent_maah Fé no pai que o próximo semestre será o último, AJUDA NOIZ COVID CARAIO KKKKKKKKKKK"", ""e essa agora de um caso confirmado de corona vírus em sampa misericórdia"", ""o pior é lidar com a culpa e a sensação de ser enganada na tua própria casa, slccc covid podia exterminar a humanidade mesmo"", ""Bolsonaro pode estar com corona vírus aaaaaa que sonho"", ""@QuebrandoOTabu @JosyRamos esse ano seria meu último ano de faculdade... até o covid fazer a Unesp cancelar o semestre 😔"", ""@meninodocrime sei pra lá coronga vírus kakakak"", ""o bolsominion não acredita na doença do covid 19 mas acredita no fármaco cloroquina para a doença que eles não acreditam ?? ué"", ""no meu carro vai ta \""eu venci o covid\"" claro, se eu vencer o covid de fato KKKKKKKKKKK https://t.co/tT2tGNOfn2""]",
user_1126032702,"The user is from Arcos, Brazil, dealing with the challenges of living through a pandemic, including health issues and personal struggles. They often criticize local authorities for their handling of the situation and express frustration over bureaucratic obstacles.","The user has an irritable and sarcastic tone, showing frustration and despair due to the ongoing pandemic and its impact on daily life. They frequently engage in complaining about government services and health issues.",1126032702,20,"[""deviam procurar a vacina da covid aqui em arcos né da noite pro dia curaram 25 pessoas e ZERARAM os casos só cai nessa quem quer https://t.co/x753gvFmYp"", ""coitada essa dai nem o covid quis levar (eu mesma"", ""vontade de pegar toda a minha angustia e transformar ela em fumaça voltar a ser quem eu sou covid pelo amor de deus va embora"", ""muito arrependida de ter mudado pra formiga pois arcos ja encontrou a cura do covid"", ""arcos tá usando aquela tática que eh muito eficaz no combate ao corona vírus, o famoso se não faz teste ninguém dá positivo"", ""@cemig_energia EU JA SOLICITEI A TROCA DE TITULARIDADE PELO SITE JA LIGUEI NO 116 JA FALEI COM A CEMIG ATENDE VOCES SO ME DAO PREVISAO DE 5 DIAS UTEIS COMO Q EU VO FICAR SEM ENERGIA ESTANDO COM COVID ISOLADO EM CASA SE MINHAS COISAS DA GELADEIRA PERDER NEM SAIR P COMPRAR EU POSSO"", ""engraçadissimo como ter pegado covid me converteu ao novo orgulho da oms"", ""venha senhor covid e leve toda a populacao de arcos-mg"", ""o lugar dos leitos emergenciais de formiga o trato eh o seguinte do covid TALVEZ voce se livre mas as ooooutras doenças que voce pegar por la ainda À COMBINAR"", ""@cemig_energia PELO AMOR DE DEUS RELIGUE A MINHA ENERGIA NAO ESTOU COM DÉBITO NENHUM EM ATRASO E VOCÊS DESLIGARAM MESMO ASSIM ESTOU COM &gt;&gt;COVID&lt;&lt; E MORO SOZINHO E VCS QUEREM QUE EU VÁ NA AGENCIA TROCAR A TITULARIDADE DO APT COMO Q EU VOU FAZER ISSO SE EU ESTOU COM &gt;&gt;COVID&lt;&lt;????"", ""parabens den*lson enfia arcos no cu e roda minha vó tá c sintomas de covid e nao tem UM TESTE SEQUER disponível em arcos"", ""@cemig_energia PELO AMOR DE DEUS RELIGUE A MINHA ENERGIA NAO ESTOU COM DÉBITO NENHUM EM ATRASO E VOCÊS DESLIGARAM MESMO ASSIM ESTOU COM &gt;&gt;COVID&lt;&lt; E MORO SOZINHO E VCS QUEREM QUE EU VÁ NA AGENCIA TROCAR A TITULARIDADE DO APT COMO Q EU VOU FAZER ISSO SE EU ESTOU COM &gt;&gt;COVID&lt;&lt;????"", ""nao aguento mais chorar e me humilhar o dia inteiro nessa cama pareço um buda eu estava tao linda antes do covid agora estou feia baranga endividada toda cheia de problemas de saude e financeiros sinto falta dos dias antigos caras... queria dormir no colinho do cap*ta https://t.co/RrdFN8oUc5"", ""tardezinha do covid quem vai"", ""sera q o covid vai me matar ou eu me mato antes quem quiser fazer esse bolao deixo aqui minha ideia""]",
user_1150028689125597184,"The user is a staunch supporter of Jair Bolsonaro and the conservative political stance, often criticizing the judiciary system and promoting hydroxychloroquine as a cure for COVID-19. They also express strong anti-communist sentiments and are skeptical of international influences on Brazil.","The tone is assertive and confrontational, with a tendency to use hyperbole and conspiracy theories. The user engages in heated debates and often criticizes perceived enemies, including the judiciary and opposition politicians.",1150028689125597184,20,"[""@ravoxbrasil Seria ótimo se esse vírus fosse atraído pelo fedor da alma dos bandidos ditadores!!! E seriam muitos vírus!! Miríades deles!!! Sem mortes, só um susto bão!!! A CLOROQUINA está aí para salvar a vida até de quem quer acabar com a vida alheia!!!!"", ""@LorenzonItalo @KarinaKufa Causa mortis: COVID-19, calibre 22 Covid-19, lâmina 40cm Covid-19, Vestígios de corda Covid-19, overdose Covid-19, parada cardíaca Covid-19, desemprego Covid-19, DECRETO DO DÓRIA!!"", ""@SenadorKajuru É pena que o Senhor interprete tão mal uma reunião. Por que raios, Senador, um monte de ministros participaria de uma FRENTE de enfrentamento ao coronavírus? Se esse vírus for enfrentado SÓ com a LEI, a gente vence! O senhor está batalhando para barrar os desmandos do STF?"", ""Bom vírus e muita Hidroxicloroquina para vocês!!! https://t.co/TEXf1PIdau"", ""@alissanoli Claro que não acredito! O CID no Brasil será assim Causa mortis: CID ÚNICO 666 - covid 19 a 100"", ""@LydiaJorge2 O ditadória tem medo não! Está usando um colete de Seis milhões de dórias, oooops, dólares e seguranças maiores que ele (o que não deve ser difícil) para proteger o rostinho lisinho e boticadinho (pra feio ainda falta muito). Medo? Nem o vírus chinês chega. O Xin deu o antídoto."", ""@BrazilFight Total Pena que permaceu o uso nas ruas Ver gente correndo e andando de bicicleta com máscaras me assusta muito! Não respiramos oxigênio. Agora respiramos gás carbônico, vírus totais, e mais o caldo úmido e quente, ambiente “amigo” de bactérias e fungos. Suicídio obrigatório!!!"", ""Laboratório EMS faz propaganda (ouvi e vi no YouTube) com a voz da Fernanda MONTEcoronavirusNEGRO!! Sim, essa mesma que considerou o coroninha um ser bem-vindo no Brasil! Ué, como pode? Ela torce pelo vírus e VENDE sua voz para um laboratório que produz REMÉDIOS? Ui!! Que medo!!"", ""Não importa que para isso os políticos bandidos precisem matar o povo de fome e se ajoelhar para o partido comunista do vírus chinês. Não apoiar o Bolsonaro AGORA é soltar a ÚNICA TÁBUA DE SALVAÇÃO DO BRASIL!! O comunismo NÃO DORME e o povo brasileiro PRECISA ACORDAR! https://t.co/bissFmuSbN"", ""@GeneralMourao Gal, Os Senhores das Armas, da Disciplina, da Hierarquia, da Garantia da Lei e da Ordem PRECISAM sair em defesa do POVO BRASILEIRO nesse falso corona. Se esperarmos decisões do stf, dos governadores, prefeitos, Foro de São Paulo, fhc e do globalismo, os BRASILEIROS sucumbirão!"", ""O QI e a máscara Ao sol escaldante - humilhante De bicicleta - Pateta Na Praça vazia - porcaria Por obrigação - manipulação Por convicção - Khaghão A gente obedece, o vírus (a bactéria?) cresce, se fortalece e agradece! O organismo enfraquece, a gente adoece de tudo que aparece!"", ""O amigo do povo, oooops, o amigo do amigo do meu pai diz: O povo precisa defender o stf! Mas, na verdade, o certo seria o BRASIL gritar: O POVO PRECISA SE DEFENDER DO STF! E o stf/corona solta mais presos para protegê-los E o stf/corona PRENDE mais PESSOAS ... para protegê-las!"", ""O amigo do povo, oooops, o amigo do amigo do meu pai diz: O povo precisa defender o stf! Mas, na verdade, o certo seria o BRASIL gritar: O POVO PRECISA SE DEFENDER DO STF! E o stf/corona solta mais presos para protegê-los E o stf/corona PRENDE mais PESSOAS ... para protegê-las!"", ""@mitags @LydiaJorge2 @RodrigoMaia Igualin a você! E o pior, acesso um canal conservador no YouTube e lá vem o coronavírus, mas ninguém falando que essa porcaria É um vírus CHINÊS!!!"", ""@AlbuquerqueDavy Sobre o Moro. - por que nunca prendeu gente do PSDB? - havia um foco: prender o lula e abrir caminho pra eleição do Alckmin? Se sim, não era justiça, ERA UM PLANO e o Moro fazia parte dele? Recente: Caso Adélio e PF calada. Moro não defendeu o povo contra os Ditadores do corona""]",
user_115822064,"The user is deeply concerned about the impact of the COVID-19 pandemic on society and public health, particularly in Brazil's Rio Grande do Sul region. They frequently share updates on the virus's spread, its effects on healthcare systems, and express frustration with societal complacency.","The user has a serious and somewhat pessimistic tone, often discussing the dire consequences of the pandemic. They engage interactively by responding to others' tweets but also tend to criticize those who do not take the situation seriously.",115822064,20,"[""É isso que eu digo, essas pessoas só vão acreditar no poder do vírus quando ele atingir alguma pessoa próxima... https://t.co/JH1NispSlb"", ""É isso que eu digo, essas pessoas só vão acreditar no poder do vírus quando ele atingir alguma pessoa próxima... https://t.co/JH1NispSlb"", ""Lembra do famoso assaltantes de carro-forte, Papagaio? Ele estava preso no Paraná. Agora, irá para prisão domiciliar por ser do grupo de risco do Covid-19. 😳"", ""O diretor da Penitenciária Estadual do Jacuí (PEJ), major Fabiano Henrique Dorneles, diz que hoje a instituição tem 1.420 vagas e tem 2.298 detentos. Devido ao teste positivo de um preso para a Covid-19, os detentos já começaram a ser testados, para evitar contaminação em massa. https://t.co/OANdJkLpxw"", ""Em um dia de sol, que Porto Alegre registra mais uma morte devido a Covid-19, o ministro da Saúde, Nelson Teich, deixa o cargo. Uma instabilidade na pasta mais importante do governo federal, o pior de tudo, em meio a uma pandemia catastrófica. #BoaTarde"", ""PEJ e Central estão interditados. Ambos devido aos detentos contaminados pela Covid-19. Presos não podem entrar e nem sair. A questão é: para onde vão os novos detentos? Como evitar picos dentro do sistema carcerário? Vale lembrar a falta de investimentos, histórica, na área."", ""Ipson Silveira Pavani, 61 anos, foi o primeiro servidor da Prefeitura de São Leopoldo que morreu em decorrência da Covid-19. Ele, que tinha diabetes, internou no Hospital Centenário no dia 21 de julho. O quadro se agravou e o óbito foi confirmado na madrugada desta quarta. https://t.co/lnTMBiyYol"", ""No Rio Grande do Sul, até esse momento, tem 25 mortos confirmados pela Covid-19. Faça sua parte, por mais difícil e doloroso que seja, fique em casa. https://t.co/9vEbpJqo3x"", ""@Cristia42838481 Englobam todas as doenças. No contexto geral de UTI. De Covid-19, dos sete pacientes internados na área intensiva, dois possuem diagnóstico confirmado para coronavírus; cinco aguardam resultado de teste RT – PCR , estando um destes em ventilação mecânica."", ""Nós sabemos que há muitas pessoas portadoras do vírus, mas sem nenhum sintoma. Há as que já estão em unidades de saúde e aguardam os resultados. Portanto, não ache que ficar em casa é balela. Não espere você ou alguém que você ame adoecer. https://t.co/sjNUOi3hcP"", ""@fa_gauss @gutolima69 Que triste essa situação. As pessoas não respeitam nem a si, vivemos em uma sociedade doente do vírus da ignorância."", ""@tcelhumberto De amores bandidos até vírus 🦠 sanguinários 🥴🥴🥴🥴"", ""Nós sabemos que há muitas pessoas portadoras do vírus, mas sem nenhum sintoma. Há as que já estão em unidades de saúde e aguardam os resultados. Portanto, não ache que ficar em casa é balela. Não espere você ou alguém que você ame adoecer. https://t.co/sjNUOi3hcP"", ""Hoje atendi um cidadão que mora em Xangri-lá, no litoral gaúcho. Disse ter descoberto a cura da Covid-19. Afirmou que “cansou” de tentar provar a descoberta às autoridades competentes. E, ao fim, questionou: “Você acha que ligaria para a imprensa se não tivesse certeza?” 🤔"", ""Positivo para Covid, UTI, teve uma parada cardiorrespiratória, choque séptico e insuficiência respiratória. O detento sofria de tuberculose.""]",
